doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct
0,Federal,0,Federal,ORG,NNP,compound,PROPN,False,True,False,False
0,Reserve,1,Reserve,ORG,NNP,compound,PROPN,False,True,False,False
0,Chairwoman,2,Chairwoman,,NNP,compound,PROPN,False,True,False,False
0,Janet,3,Janet,PERSON,NNP,compound,PROPN,False,True,False,False
0,Yellen,4,Yellen,PERSON,NNP,nsubj,PROPN,False,True,False,False
0,pushed,5,push,,VBD,ROOT,VERB,False,True,False,False
0,back,6,back,,RB,advmod,ADV,True,True,False,False
0,against,7,against,,IN,prep,ADP,True,True,False,False
0,House,8,House,ORG,NNP,compound,PROPN,False,True,False,False
0,Republicans,9,Republicans,NORP,NNPS,poss,PROPN,False,True,False,False
0,',10,',,POS,case,PART,False,False,False,True
0,proposal,11,proposal,,NN,pobj,NOUN,False,True,False,False
0,to,12,to,,TO,aux,PART,True,True,False,False
0,require,13,require,,VB,acl,VERB,False,True,False,False
0,the,14,the,,DT,det,DET,True,True,False,False
0,central,15,central,,JJ,amod,ADJ,False,True,False,False
0,bank,16,bank,,NN,dobj,NOUN,False,True,False,False
0,to,17,to,,TO,aux,PART,True,True,False,False
0,adopt,18,adopt,,VB,xcomp,VERB,False,True,False,False
0,a,19,a,,DT,det,DET,True,True,False,False
0,formal,20,formal,,JJ,amod,ADJ,False,True,False,False
0,",",21,",",,",",punct,PUNCT,False,False,False,True
0,mathematical,22,mathematical,,JJ,amod,ADJ,False,True,False,False
0,rule,23,rule,,NN,dobj,NOUN,False,True,False,False
0,to,24,to,,TO,aux,PART,True,True,False,False
0,guide,25,guide,,VB,relcl,VERB,False,True,False,False
0,its,26,its,,PRP$,poss,PRON,True,True,False,False
0,interest,27,interest,,NN,compound,NOUN,False,True,False,False
0,-,28,-,,HYPH,punct,PUNCT,False,False,False,True
0,rate,29,rate,,NN,compound,NOUN,False,True,False,False
0,decisions,30,decision,,NNS,dobj,NOUN,False,True,False,False
0,.,31,.,,.,punct,PUNCT,False,False,False,True
1,Ms.,0,Ms.,,NNP,compound,PROPN,False,False,False,False
1,Yellen,1,Yellen,PERSON,NNP,nsubj,PROPN,False,True,False,False
1,",",2,",",,",",punct,PUNCT,False,False,False,True
1,responding,3,respond,,VBG,advcl,VERB,False,True,False,False
1,to,4,to,,IN,prep,ADP,True,True,False,False
1,some,5,some,,DT,pobj,PRON,True,True,False,False
1,of,6,of,,IN,prep,ADP,True,True,False,False
1,the,7,the,,DT,det,DET,True,True,False,False
1,toughest,8,tough,,JJS,amod,ADJ,False,True,False,False
1,questioning,9,questioning,,NN,pobj,NOUN,False,True,False,False
1,she,10,she,,PRP,nsubj,PRON,True,True,False,False
1,has,11,have,,VBZ,aux,AUX,True,True,False,False
1,faced,12,face,,VBN,relcl,VERB,False,True,False,False
1,on,13,on,,IN,prep,ADP,True,True,False,False
1,Capitol,14,Capitol,ORG,NNP,compound,PROPN,False,True,False,False
1,Hill,15,Hill,ORG,NNP,pobj,PROPN,False,True,False,False
1,since,16,since,,IN,prep,SCONJ,True,True,False,False
1,becoming,17,become,,VBG,pcomp,VERB,True,True,False,False
1,the,18,the,,DT,det,DET,True,True,False,False
1,Fed,19,Fed,ORG,NNP,poss,PROPN,False,True,False,False
1,'s,20,'s,,POS,case,PART,True,False,False,False
1,leader,21,leader,,NN,attr,NOUN,False,True,False,False
1,in,22,in,,IN,prep,ADP,True,True,False,False
1,February,23,February,DATE,NNP,pobj,PROPN,False,True,False,False
1,",",24,",",,",",punct,PUNCT,False,False,False,True
1,said,25,say,,VBD,ROOT,VERB,False,True,False,False
1,provisions,26,provision,,NNS,nsubj,NOUN,False,True,False,False
1,in,27,in,,IN,prep,ADP,True,True,False,False
1,a,28,a,,DT,det,DET,True,True,False,False
1,recently,29,recently,,RB,advmod,ADV,False,True,False,False
1,introduced,30,introduce,,VBN,amod,VERB,False,True,False,False
1,House,31,House,ORG,NNP,compound,PROPN,False,True,False,False
1,bill,32,bill,,NN,pobj,NOUN,False,True,False,False
1,would,33,would,,MD,aux,AUX,True,True,False,False
1,lead,34,lead,,VB,ccomp,VERB,False,True,False,False
1,to,35,to,,IN,prep,ADP,True,True,False,False
1,greater,36,great,,JJR,amod,ADJ,False,True,False,False
1,political,37,political,,JJ,amod,ADJ,False,True,False,False
1,meddling,38,meddling,,NN,pobj,NOUN,False,True,False,False
1,in,39,in,,IN,prep,ADP,True,True,False,False
1,the,40,the,,DT,det,DET,True,True,False,False
1,Fed,41,Fed,ORG,NNP,poss,PROPN,False,True,False,False
1,'s,42,'s,,POS,case,PART,True,False,False,False
1,affairs,43,affair,,NNS,pobj,NOUN,False,True,False,False
1,",",44,",",,",",punct,PUNCT,False,False,False,True
1,curtailing,45,curtail,,VBG,advcl,VERB,False,True,False,False
1,its,46,its,,PRP$,poss,PRON,True,True,False,False
1,independence,47,independence,,NN,dobj,NOUN,False,True,False,False
1,and,48,and,,CC,cc,CCONJ,True,True,False,False
1,constraining,49,constrain,,VBG,conj,VERB,False,True,False,False
1,the,50,the,,DT,det,DET,True,True,False,False
1,ability,51,ability,,NN,dobj,NOUN,False,True,False,False
1,of,52,of,,IN,prep,ADP,True,True,False,False
1,policy,53,policy,,NN,compound,NOUN,False,True,False,False
1,makers,54,maker,,NNS,pobj,NOUN,False,True,False,False
1,to,55,to,,TO,aux,PART,True,True,False,False
1,manage,56,manage,,VB,acl,VERB,False,True,False,False
1,crises,57,crisis,,NNS,dobj,NOUN,False,True,False,False
1,.,58,.,,.,punct,PUNCT,False,False,False,True
2,"""",0,"""",,``,punct,PUNCT,False,False,False,True
2,It,1,it,,PRP,nsubj,PRON,True,True,False,False
2,would,2,would,,MD,aux,AUX,True,True,False,False
2,be,3,be,,VB,ccomp,AUX,True,True,False,False
2,a,4,a,,DT,det,DET,True,True,False,False
2,grave,5,grave,,JJ,amod,ADJ,False,True,False,False
2,mistake,6,mistake,,NN,attr,NOUN,False,True,False,False
2,for,7,for,,IN,mark,SCONJ,True,True,False,False
2,the,8,the,,DT,det,DET,True,True,False,False
2,Fed,9,Fed,ORG,NNP,nsubj,PROPN,False,True,False,False
2,to,10,to,,TO,aux,PART,True,True,False,False
2,commit,11,commit,,VB,advcl,VERB,False,True,False,False
2,to,12,to,,TO,aux,PART,True,True,False,False
2,conduct,13,conduct,,VB,advcl,VERB,False,True,False,False
2,monetary,14,monetary,,JJ,amod,ADJ,False,True,False,False
2,policy,15,policy,,NN,dobj,NOUN,False,True,False,False
2,according,16,accord,,VBG,prep,VERB,False,True,False,False
2,to,17,to,,IN,prep,ADP,True,True,False,False
2,a,18,a,,DT,det,DET,True,True,False,False
2,mathematical,19,mathematical,,JJ,amod,ADJ,False,True,False,False
2,rule,20,rule,,NN,pobj,NOUN,False,True,False,False
2,",",21,",",,",",punct,PUNCT,False,False,False,True
2,"""",22,"""",,'',punct,PUNCT,False,False,False,True
2,Ms.,23,Ms.,,NNP,compound,PROPN,False,False,False,False
2,Yellen,24,Yellen,PERSON,NNP,nsubj,PROPN,False,True,False,False
2,told,25,tell,,VBD,ROOT,VERB,False,True,False,False
2,the,26,the,ORG,DT,det,DET,True,True,False,False
2,House,27,House,ORG,NNP,compound,PROPN,False,True,False,False
2,Financial,28,Financial,ORG,NNP,compound,PROPN,False,True,False,False
2,Services,29,Services,ORG,NNPS,compound,PROPN,False,True,False,False
2,Committee,30,Committee,ORG,NNP,dobj,PROPN,False,True,False,False
2,on,31,on,,IN,prep,ADP,True,True,False,False
2,Wednesday,32,Wednesday,DATE,NNP,pobj,PROPN,False,True,False,False
2,",",33,",",,",",punct,PUNCT,False,False,False,True
2,amplifying,34,amplify,,VBG,advcl,VERB,False,True,False,False
2,her,35,her,,PRP$,poss,PRON,True,True,False,False
2,message,36,message,,NN,dobj,NOUN,False,True,False,False
2,in,37,in,,IN,prep,ADP,True,True,False,False
2,testimony,38,testimony,,NN,pobj,NOUN,False,True,False,False
2,to,39,to,,IN,prep,ADP,True,True,False,False
2,the,40,the,ORG,DT,det,DET,True,True,False,False
2,Senate,41,Senate,ORG,NNP,compound,PROPN,False,True,False,False
2,Banking,42,Banking,ORG,NNP,compound,PROPN,False,True,False,False
2,Committee,43,Committee,ORG,NNP,pobj,PROPN,False,True,False,False
2,a,44,a,DATE,DT,det,DET,True,True,False,False
2,day,45,day,DATE,NN,npadvmod,NOUN,False,True,False,False
2,earlier,46,early,DATE,RBR,advmod,ADV,False,True,False,False
2,.,47,.,,.,punct,PUNCT,False,False,False,True
3,The,0,the,,DT,det,DET,True,True,False,False
3,House,1,House,ORG,NNP,compound,PROPN,False,True,False,False
3,bill,2,bill,,NN,nsubj,NOUN,False,True,False,False
3,would,3,would,,MD,aux,AUX,True,True,False,False
3,require,4,require,,VB,ROOT,VERB,False,True,False,False
3,the,5,the,,DT,det,DET,True,True,False,False
3,Fed,6,Fed,ORG,NNP,dobj,PROPN,False,True,False,False
3,to,7,to,,TO,aux,PART,True,True,False,False
3,adopt,8,adopt,,VB,xcomp,VERB,False,True,False,False
3,a,9,a,,DT,det,DET,True,True,False,False
3,mathematical,10,mathematical,,JJ,amod,ADJ,False,True,False,False
3,formula,11,formula,,NN,dobj,NOUN,False,True,False,False
3,for,12,for,,IN,prep,ADP,True,True,False,False
3,determining,13,determine,,VBG,pcomp,VERB,False,True,False,False
3,the,14,the,,DT,det,DET,True,True,False,False
3,appropriate,15,appropriate,,JJ,amod,ADJ,False,True,False,False
3,level,16,level,,NN,dobj,NOUN,False,True,False,False
3,for,17,for,,IN,prep,ADP,True,True,False,False
3,its,18,its,,PRP$,poss,PRON,True,True,False,False
3,benchmark,19,benchmark,,JJ,amod,ADJ,False,True,False,False
3,short,20,short,,JJ,amod,ADJ,False,True,False,False
3,-,21,-,,HYPH,punct,PUNCT,False,False,False,True
3,term,22,term,,NN,compound,NOUN,False,True,False,False
3,interest,23,interest,,NN,compound,NOUN,False,True,False,False
3,rate,24,rate,,NN,pobj,NOUN,False,True,False,False
3,",",25,",",,",",punct,PUNCT,False,False,False,True
3,which,26,which,,WDT,nsubj,PRON,True,True,False,False
3,influences,27,influence,,VBZ,relcl,VERB,False,True,False,False
3,other,28,other,,JJ,amod,ADJ,True,True,False,False
3,borrowing,29,borrowing,,NN,compound,NOUN,False,True,False,False
3,costs,30,cost,,NNS,dobj,NOUN,False,True,False,False
3,across,31,across,,IN,prep,ADP,True,True,False,False
3,the,32,the,,DT,det,DET,True,True,False,False
3,economy,33,economy,,NN,pobj,NOUN,False,True,False,False
3,.,34,.,,.,punct,PUNCT,False,False,False,True
4,The,0,the,,DT,det,DET,True,True,False,False
4,bill,1,bill,,NN,poss,NOUN,False,True,False,False
4,'s,2,'s,,POS,case,PART,True,False,False,False
4,proponents,3,proponent,,NNS,nsubj,NOUN,False,True,False,False
4,cite,4,cite,,VBP,ROOT,VERB,False,True,False,False
4,as,5,as,,IN,prep,ADP,True,True,False,False
4,an,6,an,,DT,det,DET,True,True,False,False
4,example,7,example,,NN,pobj,NOUN,False,True,False,False
4,the,8,the,,DT,det,DET,True,True,False,False
4,so,9,so,,RB,advmod,ADV,True,True,False,False
4,-,10,-,,HYPH,punct,PUNCT,False,False,False,True
4,called,11,call,,VBN,amod,VERB,False,True,False,False
4,Taylor,12,Taylor,PERSON,NNP,compound,PROPN,False,True,False,False
4,rule,13,rule,,NN,appos,NOUN,False,True,False,False
4,",",14,",",,",",punct,PUNCT,False,False,False,True
4,devised,15,devise,,VBN,acl,VERB,False,True,False,False
4,by,16,by,,IN,agent,ADP,True,True,False,False
4,Stanford,17,Stanford,ORG,NNP,compound,PROPN,False,True,False,False
